Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
55.3167	7	0	24	9	807276	4	0	
55.3979	4	0	25	11	984984	4	0	
55.4018	6	0	25	11	1222449	4	0	
55.4057	10	0	25	12	893044	4	0	
55.4097	5	0	25	12	865749	4	0	
55.4137	2	0	25	13	718806	0	0	
55.4176	11	0	25	11	792442	2	0	
55.4218	3	0	25	11	702432	2	0	
55.4298	9	0	25	11	899065	6	0	
57.3167	7	0	25	10	938597	4	0	
57.3979	4	0	26	11	543779	6	0	
57.4018	6	0	26	12	903475	4	0	
57.4057	10	0	26	11	1066955	4	0	
57.4097	5	0	26	11	952845	4	0	
57.4137	2	0	26	11	514002	0	0	
57.4176	11	0	26	11	593734	2	0	
57.4218	3	0	26	10	756143	4	0	
57.4298	9	0	26	11	1232963	4	0	
59.3167	7	0	26	11	1115247	4	0	
59.3979	4	0	27	10	702100	4	0	
59.4018	6	0	27	11	955733	4	0	
59.4057	10	0	27	12	1001561	4	0	
59.4097	5	0	27	11	1182128	4	0	
59.4137	2	0	27	10	392273	0	0	
59.4176	11	0	27	10	912730	2	0	
59.4218	3	0	27	10	665041	4	0	
59.4298	9	0	27	12	1356126	4	0	
61.3167	7	0	27	12	1034003	4	0	
61.3979	4	0	28	10	893041	4	0	
61.4018	6	0	28	11	1191057	6	0	
61.4057	10	0	28	12	692778	6	0	
61.4097	5	0	28	12	1434476	4	0	
61.4137	2	0	28	8	699876	0	0	
61.4176	11	0	28	11	1080109	4	0	
61.4218	3	0	28	10	857372	4	0	
61.4298	9	0	28	13	1489454	4	0	
63.3167	7	0	28	12	946416	4	0	
63.3979	4	0	29	11	1095111	4	0	
63.4018	6	0	29	12	837973	4	0	
63.4057	10	0	29	11	734494	6	0	
63.4097	5	0	29	13	1572360	4	0	
63.4137	2	0	29	10	569615	0	0	
63.4176	11	0	29	12	925937	2	0	
63.4218	3	0	29	11	1116036	4	0	
63.4298	9	0	29	14	705511	2	0	
65.3167	7	0	29	11	769248	4	0	
65.3979	4	0	30	12	506966	4	0	
65.4018	6	0	30	11	1030692	4	0	
65.4057	10	0	30	10	1000144	4	0	
65.4097	5	0	30	14	1110887	4	0	
65.4137	2	0	30	10	768679	2	0	
65.4176	11	0	30	11	1070577	4	0	
65.4218	3	0	30	12	1347043	4	0	
65.4298	9	0	30	11	598466	4	0	
67.3167	7	0	30	11	506084	4	0	
67.3979	4	0	31	10	851703	2	0	
67.4018	6	0	31	12	1365333	4	0	
67.4057	10	0	31	11	1307595	4	0	
67.4097	5	0	31	13	961502	4	0	
67.4137	2	0	31	10	1004478	2	0	
67.4176	11	0	31	12	888310	4	0	
67.4218	3	0	31	13	1012191	4	0	
67.4298	9	0	31	10	379060	4	0	
69.3167	7	0	31	10	607530	6	0	
69.3979	4	0	32	11	1066234	2	0	
69.4018	6	0	32	13	1148411	4	0	
69.4057	10	0	32	12	1375606	6	0	
69.4097	5	0	32	12	1218870	4	0	
69.4137	2	0	32	11	1092077	2	0	
69.4176	11	0	32	11	926533	4	0	
69.4218	3	0	32	12	1223318	2	0	
69.4298	9	0	32	8	722127	4	0	
71.3167	7	0	32	10	891667	4	0	
71.3979	4	0	33	11	469892	2	0	
71.4018	6	0	33	12	610359	4	0	
