ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
133,1485,2,10,0,3337,800,480
134,1485,2,10,0,3337,800,480
135,1485,2,10,0,3337,800,480
136,1485,2,10,0,3337,800,480
137,1485,2,10,0,3337,800,480
138,1485,2,10,0,3337,800,480
139,1485,2,10,0,3337,800,480
140,1485,2,10,0,3337,800,480
141,1485,2,10,0,3337,800,480
142,1485,2,10,0,3337,800,480
143,1485,2,10,0,3337,800,480
144,1485,2,10,0,3337,800,480
145,1485,2,10,0,3337,800,480
146,1485,2,10,0,3337,800,480
147,1485,2,10,0,3337,800,480
148,1485,2,10,0,3337,800,480
149,1485,2,10,0,3337,800,480
150,1485,2,10,0,3337,800,480
151,1485,2,10,0,3337,800,480
152,1485,2,10,0,3337,800,480
153,1485,2,10,0,3337,800,480
154,1485,2,10,0,3337,800,480
155,1485,2,10,0,3337,800,480
156,1485,2,10,0,3337,800,480
157,1485,2,10,0,3337,800,480
158,1485,2,10,0,3337,800,480
159,1485,2,10,0,3337,800,480
160,1485,2,10,0,3337,800,480
161,1485,2,10,0,3337,800,480
162,1485,2,10,0,3337,800,480
163,1485,2,10,0,3337,800,480
164,1485,2,10,0,3337,800,480
165,1485,2,10,0,3337,800,480
166,1485,2,10,0,3337,800,480
167,1485,2,10,0,3337,800,480
168,1485,2,10,0,3337,800,480
169,1485,2,10,0,3337,800,480
170,1485,2,10,0,3337,800,480
171,1485,2,10,0,3337,800,480
172,1485,2,10,0,3337,800,480
173,1485,2,10,0,3337,800,480
174,1485,2,10,0,3337,800,480
175,1485,2,10,0,3337,800,480
176,1485,2,10,0,3337,800,480
177,1485,2,10,0,3337,800,480
178,1485,2,10,0,3337,800,480
179,1485,2,10,0,3337,800,480
180,1485,2,10,0,3337,800,480
181,1485,2,10,0,3337,800,480
182,1485,2,10,0,3337,800,480
183,1485,2,10,0,3337,800,480
184,1485,2,10,0,3337,800,480
185,1485,2,10,0,3337,800,480
186,1485,2,10,0,3337,800,480
187,1485,2,10,0,3337,800,480
188,1485,2,10,0,3337,800,480
189,1485,2,10,0,3337,800,480
190,1485,2,10,0,3337,800,480
191,1485,2,10,0,3337,800,480
192,1485,2,10,0,3337,800,480
193,1485,2,10,0,3337,800,480
194,1485,2,10,0,3337,800,480
195,1485,2,10,0,3337,800,480
196,1485,2,10,0,3337,800,480
197,1485,2,10,0,3337,800,480
198,1485,2,10,0,3337,800,480
199,1485,2,10,0,3337,800,480
200,1485,2,10,0,3337,800,480
201,1485,2,10,0,3337,800,480
202,1485,2,10,0,3337,800,480
203,1485,2,10,0,3337,800,480
204,1485,2,10,0,3337,800,480
205,1485,2,10,0,3337,800,480
206,1485,2,10,0,3337,800,480
207,1485,2,10,0,3337,800,480
208,1485,2,10,0,3337,800,480
209,1485,2,10,0,3337,800,480
210,1485,2,10,0,3337,800,480
211,1485,2,10,0,3337,800,480
212,1485,2,10,0,3337,800,480
213,1485,2,10,0,3337,800,480
214,1485,2,10,0,3337,800,480
215,1485,2,10,0,3337,800,480
216,1485,2,10,0,3337,800,480
217,1485,2,10,0,3337,800,480
218,1485,2,10,0,3337,800,480
219,1485,2,10,0,3337,800,480
220,1485,2,10,0,3337,800,480
221,1485,2,10,0,3337,800,480
222,1485,2,10,0,3337,800,480
223,1485,2,10,0,3337,800,480
224,1485,2,10,0,3337,800,480
225,1485,2,10,0,3337,800,480
226,1485,2,10,0,3337,800,480
227,1485,2,10,0,3337,800,480
228,1485,2,10,0,3337,800,480
229,1485,2,10,0,3337,800,480
230,1485,2,10,0,3337,800,480
231,1485,2,10,0,3337,800,480
232,1485,2,10,0,3337,800,480
233,1485,2,10,0,3337,800,480
234,1485,2,10,0,3337,800,480
235,1485,2,10,0,3337,800,480
236,1485,2,10,0,3337,800,480
237,1485,2,10,0,3337,800,480
238,1485,2,10,0,3337,800,480
239,1485,2,10,0,3337,800,480
240,1485,2,10,0,3337,800,480
241,1485,2,10,0,3337,800,480
242,1485,2,10,0,3337,800,480
243,1485,2,10,0,3337,800,480
244,1485,2,10,0,3337,800,480
245,1485,2,10,0,3337,800,480
246,1485,2,10,0,3337,800,480
247,1485,2,10,0,3337,800,480
248,1485,2,10,0,3337,800,480
249,1485,2,10,0,3337,800,480
250,1485,2,10,0,3337,800,480
251,1485,2,10,0,3337,800,480
252,1485,2,10,0,3337,800,480
253,1485,2,10,0,3337,800,480
254,1485,2,10,0,3337,800,480
255,1485,2,10,0,3337,800,480
256,1485,2,10,0,3337,800,480
257,1485,2,10,0,3337,800,480
258,1485,2,10,0,3337,800,480
259,1485,2,10,0,3337,800,480
260,1485,2,10,0,3337,800,480
261,1485,2,10,0,3337,800,480
262,1485,2,10,0,3337,800,480
263,1485,2,10,0,3337,800,480
264,1485,2,10,0,3337,800,480
265,1485,2,10,0,3337,800,480
266,1485,2,10,0,3337,800,480
267,1485,2,10,0,3337,800,480
268,1485,2,10,0,3337,800,480
269,1485,2,10,0,3337,800,480
270,1485,2,10,0,3337,800,480
271,1485,2,10,0,3337,800,480
272,1485,2,10,0,3337,800,480
273,1485,2,10,0,3337,800,480
274,1485,2,10,0,3337,800,480
275,1485,2,10,0,3337,800,480
276,1485,2,10,0,3337,800,480
277,1485,2,10,0,3337,800,480
278,1485,2,10,0,3337,800,480
279,1485,2,10,0,3337,800,480
280,1485,2,10,0,3337,800,480
281,1485,2,10,0,3337,800,480
282,1485,2,10,0,3337,800,480
283,1485,2,10,0,3337,800,480
284,1485,2,10,0,3337,800,480
285,1485,2,10,0,3337,800,480
286,1485,2,10,0,3337,800,480
287,1485,2,10,0,3337,800,480
288,1485,2,10,0,3337,800,480
289,1485,2,10,0,3337,800,480
290,1485,2,10,0,3337,800,480
291,1485,2,10,0,3337,800,480
292,1485,2,10,0,3337,800,480
293,1485,2,10,0,3337,800,480
294,1485,2,10,0,3337,800,480
295,1485,2,10,0,3337,800,480
296,1485,2,10,0,3337,800,480
297,1485,2,10,0,3337,800,480
298,1485,2,10,0,3337,800,480
299,1485,2,10,0,3337,800,480
